iR33,dir,file,fileDate,targ,zaTarg,proj,year,author1,Source,Reaction,dataType,x4,Emin,Emax,Egamma,Units,Theta,nData
0,ag7p,ag7ppga,2013-06-25T18:44:56,107Ag,47107,p,1975,G.Deconninck,"G.Deconninck, G.Demortier, J. Rad. Chem. 24 (1975) 437","107Ag(p,pg3-0)107Ag","PIGE,NRA","",1300.0,2500.0,"325",yield,90,13
1,ag7p,ag7ppgb,2013-06-25T18:47:42,107Ag,47107,p,1975,G.Deconninck,"G.Deconninck, G.Demortier, J. Rad. Chem. 24 (1975) 437","107Ag(p,pg4-0)107Ag","PIGE,NRA","",1400.0,2500.0,"423",yield,90,12
2,ag9p,ag9pp0$1,2011-09-05T07:19:00,109Ag,47109,p,1980,R.L.Hershberger,"R.L.Hershberger+(1980), Jour. Physical Review, Part C, Nuclear Physics, Vol.21, p.896","109Ag(p,p0)109Ag","EBS","C0529006",3009.0,6259.0,"",mb,165,17
3,ag9p,ag9pp0$2,2011-09-05T07:19:00,109Ag,47109,p,1980,R.L.Hershberger,"R.L.Hershberger+(1980), Jour. Physical Review, Part C, Nuclear Physics, Vol.21, p.896","109Ag(p,p0)109Ag","EBS","C0529006",3009.0,6259.0,"",mb,135,17
4,ag9p,ag9pp0a,2006-06-23T00:00:00,109Ag,47109,p,1983,A.I.Baryshnikov,"A.I.Baryshnikov, A.F.Gurbich, N.N.Titarenko Sov.J.Nucl.Phys.(Engl. Transl.) v.37(3) (1983) p.315","109Ag(p,p0)109Ag","EBS","D0094002",3200.0,6100.0,"",rr,165,14
5,ag9p,ag9ppga,2013-06-25T18:51:08,109Ag,47109,p,1975,G.Deconninck,"G.Deconninck, G.Demortier, J. Rad. Chem. 24 (1975) 437","109Ag(p,pg3-0)109Ag","PIGE,NRA","",1300.0,2500.0,"311",yield,90,13
6,ag9p,ag9ppgb,2013-06-25T18:52:58,109Ag,47109,p,1975,G.Deconninck,"G.Deconninck, G.Demortier, J. Rad. Chem. 24 (1975) 437","109Ag(p,pg4-0)109Ag","PIGE,NRA","",1400.0,2500.0,"415",yield,90,12
7,al7a,al7aa0$1,2011-08-04T10:28:00,27Al,13027,a,1991,Cheng Huan-Sheng,"Cheng Huan-Sheng+(1991), Jour. Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.56, p.749","27Al(a,a0)27Al","EBS","O0882002",2058.0,6090.0,"",rr,165,137
8,al7a,al7aa0a,2006-06-23T00:00:00,27Al,13027,a,1994,Cheng,"Cheng, H.-S., Shen, H., Yang, F. and Tang, J. Nucl. Instr. and Meth. B85 (1994) 47.","27Al(a,a0)27Al","EBS","O0883004",2058.0,8966.0,"",rr,170,259
9,al7a,al7ap0b,2008-03-18T00:00:00,27Al,13027,a,1968,A.V.Spassky,"A.V. Spassky et al.  Yadernaya Fizika v. 7 (1968) 251","27Al(a,p0)30Si","NRA","F0957002",9252.5,25205.0,"",mb,90,41
10,al7a,al7ap0c,2008-07-01T00:00:00,27Al,13027,a,1968,A.V.Spassky,"A.V. Spassky et al.  Yadernaya Fizika v. 7 (1968) 251","27Al(a,p0)30Si","NRA","F0957002",9060.0,25004.0,"",mb,160,47
11,al7a,al7ap1b,2008-07-01T00:00:00,27Al,13027,a,1968,A.V.Spassky,"A.V. Spassky et al.  Yadernaya Fizika v. 7 (1968) 251","27Al(a,p1)30Si","NRA","F0957002",9215.0,25081.0,"",mb,90,43
12,al7a,al7ap1c,2008-03-18T00:00:00,27Al,13027,a,1968,A.V.Spassky,"A.V. Spassky et al.  Yadernaya Fizika v. 7 (1968) 251","27Al(a,p1)30Si","NRA","F0957002",10179.0,25087.0,"",mb,160,46
13,al7a,al7ap2b,2008-03-18T00:00:00,27Al,13027,a,1968,A.V.Spassky,"A.V. Spassky et al.  Yadernaya Fizika v. 7 (1968) 251","27Al(a,p2+3+4)30Si","NRA","F0957003",9878.0,25120.0,"",mb,90,41
14,al7a,al7ap2c,2008-03-18T00:00:00,27Al,13027,a,1968,A.V.Spassky,"A.V. Spassky et al.  Yadernaya Fizika v. 7 (1968) 251","27Al(a,p2+3+4)30Si","NRA","F0957003",11437.0,25144.0,"",mb,160,41
15,al7d,al7da0$1,2011-08-04T09:15:00,27Al,13027,d,1968,G.Corleo,"G.Corleo+(1968), Jour. Nuovo Cimento B, Vol.56, p.83","27Al(d,a0)25Mg","NRA","D0389004",1599.6,2000.7,"",mb,90,9
16,al7d,al7da0a,2010-09-27T00:00:00,27Al,13027,d,2008,S.Pellegrino,"S. Pellegrino et al., Nucl. Instr. and Meth. B 266 (2008) 2268","27Al(d,a0)25Mg","NRA","D0430003",1000.0,2000.0,"",mb,150,8
17,al7d,al7da0b,2010-09-08T00:00:00,27Al,13027,d,2008,A.F.Gurbich,"A.F.Gurbich, S.L.Molodtsov, Nucl. Instr. & Meth. B266 (2008) 3535","27Al(d,a0)25Mg","NRA","D0435003",1520.0,2410.0,"",mb,150,102
18,al7d,al7da0c,2008-07-10T00:00:00,27Al,13027,d,1966,M.Cortni,"M.Cortni et al. Nuclear Physics v.77 (1966) 625","27Al(d,a0)25Mg","NRA","F0966002",1519.1,2291.0,"",mb,173,54
19,al7d,al7da0d,2008-12-17T00:00:00,27Al,13027,d,1964,M.A.Abuzeid,"M.A.Abuzeid et al. Izvestiya Academii Nauk v.28 (1964) 1717","27Al(d,a0)25Mg","NRA","F1011002",1261.2999,2532.5,"",mb,135,50
20,al7d,al7da0e,2010-01-22T00:00:00,27Al,13027,d,1965,J.H.Williamson,"J.H.Williamson  Nuclear Physics  v.69 (1965) 481","27Al(d,a0)25Mg","NRA","F1074003",1197.5,2000.45,"",ru,165,35
21,al7d,al7da1$1,2011-08-04T09:15:00,27Al,13027,d,1968,G.Corleo,"G.Corleo+(1968), Jour. Nuovo Cimento B, Vol.56, p.83","27Al(d,a1)25Mg","NRA","D0389004",1601.7,2001.2,"",mb,90,9
22,al7d,al7da1b,2010-09-08T00:00:00,27Al,13027,d,2008,A.F.Gurbich,"A.F.Gurbich, S.L.Molodtsov, Nucl. Instr. & Meth. B266 (2008) 3535","27Al(d,a1)25Mg","NRA","D0435003",1520.0,2410.0,"",mb,150,102
23,al7d,al7da1c,2008-05-19T00:00:00,27Al,13027,d,1966,M.Cortni,"M.Cortni et al. Nuclear Physics v.77 (1966) 625","27Al(d,a1)25Mg","NRA","F0966002",1503.6,2312.4001,"",mb,173,57
24,al7d,al7da1d,2008-12-17T00:00:00,27Al,13027,d,1964,M.A.Abuzeid,"M.A.Abuzeid et al. Izvestiya Academii Nauk v.28 (1964) 1717","27Al(d,a1)25Mg","NRA","F1011002",1234.4,2539.0999,"",mb,135,58
25,al7d,al7da1e,2010-01-22T00:00:00,27Al,13027,d,1965,J.H.Williamson,"J.H.Williamson  Nuclear Physics  v.69 (1965) 481","27Al(d,a1)25Mg","NRA","F1074004",1196.7,1999.6001,"",ru,165,36
26,al7d,al7da2$1,2011-08-04T09:15:00,27Al,13027,d,1968,G.Corleo,"G.Corleo+(1968), Jour. Nuovo Cimento B, Vol.56, p.83","27Al(d,a2)25Mg","NRA","D0389004",1597.9,2001.8,"",mb,90,9
27,al7d,al7da2a,2010-01-16T00:00:00,27Al,13027,d,2008,S.Pellegrino,"S. Pellegrino et al., Nucl. Instr. and Meth. B 266 (2008) 2268","27Al(d,a2)25Mg","NRA","D0430003",1000.0,2000.0,"",mb,150,10
28,al7d,al7da2b,2008-10-29T00:00:00,27Al,13027,d,2008,A.F.Gurbich,"A.F.Gurbich, S.L.Molodtsov, Nucl. Instr. & Meth. B266 (2008) 3535","27Al(d,a2)25Mg","NRA","D0435003",1520.0,2410.0,"",mb,150,102
29,al7d,al7da2c,2008-05-19T00:00:00,27Al,13027,d,1966,M.Cortni,"M.Cortni et al. Nuclear Physics v.77 (1966) 625","27Al(d,a2)25Mg","NRA","F0966002",1517.7999,2314.5,"",mb,173,66
30,al7d,al7da2d,2008-12-17T00:00:00,27Al,13027,d,1964,M.A.Abuzeid,"M.A.Abuzeid et al. Izvestiya Academii Nauk v.28 (1964) 1717","27Al(d,a2)25Mg","NRA","F1011002",1251.0,2533.5,"",mb,135,59
31,al7d,al7da2e,2010-01-22T00:00:00,27Al,13027,d,1965,J.H.Williamson,"J.H.Williamson  Nuclear Physics  v.69 (1965) 481","27Al(d,a2)25Mg","NRA","F1074005",1197.8,1999.2,"",ru,165,37
32,al7d,al7da3$1,2011-08-04T09:15:00,27Al,13027,d,1968,G.Corleo,"G.Corleo+(1968), Jour. Nuovo Cimento B, Vol.56, p.83","27Al(d,a3)25Mg","NRA","D0389004",1599.6,2000.2,"",mb,90,9
33,al7d,al7da3b,2008-10-29T00:00:00,27Al,13027,d,2008,A.F.Gurbich,"A.F.Gurbich, S.L.Molodtsov, Nucl. Instr. & Meth. B266 (2008) 3535","27Al(d,a3)25Mg","NRA","D0435003",1520.0,2410.0,"",mb,150,102
34,al7d,al7da3c,2008-05-19T00:00:00,27Al,13027,d,1966,M.Cortni,"M.Cortni et al. Nuclear Physics v.77 (1966) 625","27Al(d,a3)25Mg","NRA","F0966002",1514.3,2315.0,"",mb,173,71
